index,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost,ttb_bluebook_id,
21,2017,Mazda,2,1.3,High,Sedan,AT,15,25,red,92500,2023-10-25,mazda-2-high-ภาคตะวันออก-อำเภอเมืองชลบุรี/12713804?auc=true,359000,144,ขายไปแล้ว
1569,2014,Mazda,3,2,S,Sedan,AT,14,18,black,152500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11157865,388000,459,
810,2014,Mazda,CX-5,2.5,S,SUV,AT,13,16,white,172500,2023-10-25,mazda-cx-5-s-ภาคตะวันออก-อำเภอเมืองชลบุรี/12655892,489000,1112,
18,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15,25,red,37569,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12067309?carsome=true,361900,166,
484,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,blue,37500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12719014,421900,101,
1924,2012,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9,14,white,77500,2023-10-25,mazda-2-sports-spirit-ภาคใต้-อำเภออ่าวลึก/12729887,248000,297,
687,2020,Mazda,CX-30,2,SP,SUV,AT,20,25,red,36386,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12250259?auc=true,859000,1032,
308,2015,Mazda,3,2,S Sports,Hatchback,AT,14,18,silver,157500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12651992?auc=true,369000,440,
1683,2020,Mazda,2,1.3,S Leather,Sedan,AT,15,25,black,78575,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12691371,431800,77,
1075,2017,Mazda,2,1.3,High Connect,Sedan,AT,15,25,white,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12617120?auc=true,568000,145,
1621,2017,Mazda,3,2,SP Sports,Hatchback,AT,14,18,black,52500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/6933256?auc=true,479000,411,
2013,2012,Mazda,3,2,Maxx,Sedan,AT,11,14,gray,148586,2023-10-25,mazda-3-maxx-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12202774,255000,484,
371,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15,25,black,77500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12456882?carsome=true,456900,165,
1078,2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,silver,172500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12146176?auc=true,275000,897,
610,2014,Mazda,CX-5,2,S,SUV,AT,13,16,white,167500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/10000983?auc=true,458000,1110,
284,2017,Mazda,CX-5,2,S,SUV,AT,13,16,black,135506,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12029185,498000,1087,
1531,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,gray,122917,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-มีนบุรี/11552014?auc=true,729000,1080,
1057,2021,Mazda,CX-3,2,Base Plus,SUV,AT,15,22,cream,62500,2023-10-25,mazda-cx-3-base-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12125783,599000,961,
1202,2020,Mazda,CX-30,2,SP,SUV,AT,20,25,blue,147500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12588807,689000,1032,
171,2014,Mazda,3,2,SP Sports,Hatchback,AT,14,18,black,217500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12851602?auc=true,399000,456,
987,2008,Mazda,3,1.6,Spirit Sports,Hatchback,AT,5,10,black,222500,2023-10-25,mazda-3-spirit-sports-ภาคตะวันออก-อำเภอบางละมุง/12687215,160000,535,
275,2015,Mazda,3,2,SP Sports,Hatchback,AT,14,18,white,102500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11827926,459000,439,
1703,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,red,86442,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12735374,401400,101,
1047,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,gray,77500,2023-10-25,mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองอุดรธานี/12056168,419000,98,
325,2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15,25,brown,82500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12709686?carsome=true,417900,162,
673,2011,Mazda,3,2,Maxx Sports,Hatchback,AT,11,14,green,202500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11249577,269000,489,
218,2017,Mazda,CX-5,2,S,SUV,AT,13,16,white,132500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12671564,637000,1087,
1539,2018,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,14,21,white,30000,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/9279216,498000,723,
